id;Nama;Age;Balanced;No 2b Thread-No;No 3 Thread-No;Previous Balanced;Average Balanced;No 1 Thread-No;Free Transfer;No 2a Thread-No
41;Anthony;27;192.0;3;1;177.0;167.0;0;2;3
42;Hudson;45;98.0;5;4;105.0;96.5;0;3;5
43;Dylan;29;234.0;0;4;182.0;190.5;0;2;0
44;Ezra;22;75.0;4;5;177.0;121.0;0;0;4
45;Thomas;31;90.0;1;2;93.0;86.5;0;3;1
46;Charles;44;89.0;2;5;127.0;103.0;0;0;2
47;Christopher;31;229.0;3;2;122.0;158.0;0;3;3
48;Jaxon;41;74.0;5;5;128.0;96.0;0;1;5
49;Maverick;40;76.0;0;2;147.0;106.5;0;4;0
50;Josiah;43;155.0;4;5;74.0;109.5;0;5;4
51;Isaiah;20;220.0;0;2;152.0;168.5;0;2;0
52;Andrew;51;159.0;1;5;137.0;143.0;0;5;1
53;Elias;45;215.0;0;2;102.0;141.0;0;4;0
54;Joshua;46;133.0;0;5;100.0;111.5;0;5;0
55;Nathan;53;129.0;1;5;118.0;118.5;0;5;1
56;Caleb;23;191.0;0;7;122.0;139.0;0;0;0
57;Ryan;33;202.0;2;5;64.0;115.5;0;3;2
58;Adrian;40;191.0;0;7;77.0;116.5;0;0;0
59;Miles;32;124.0;1;5;134.0;124.0;1;5;1
60;Eli;23;72.0;0;7;170.0;116.0;1;3;0
61;Nolan;20;132.0;3;5;91.0;106.5;2;5;3
62;Christian;21;216.0;0;7;81.0;131.0;1;2;0
63;Aaron;21;155.0;0;7;124.0;134.5;1;5;0
64;Cameron;29;229.0;5;3;174.0;184.0;3;1;5
65;Ezekiel;50;149.0;3;7;112.0;125.5;0;5;3
66;Colton;27;143.0;4;7;154.0;143.5;0;5;4
67;Luca;29;63.0;2;7;96.0;74.5;0;4;2
68;Landon;52;224.0;2;3;100.0;144.5;0;2;2
69;Hunter;36;190.0;2;7;82.0;118.5;1;2;2
70;Jonathan;37;73.0;2;3;171.0;117.0;2;2;2
71;Santiago;43;128.0;1;7;154.0;136.0;3;5;1
72;Axel;31;136.0;0;3;95.0;110.5;3;5;0
73;Easton;46;101.0;3;7;168.0;129.5;0;1;3
74;Cooper;43;116.0;3;3;197.0;151.5;3;5;3
75;Jeremiah;30;104.0;3;3;191.0;142.5;3;2;3
76;Angel;28;92.0;5;6;124.0;103.0;3;2;5
77;Roman;52;120.0;5;3;73.0;91.5;3;5;5
78;Connor;28;107.0;3;6;163.0;130.0;3;1;3
79;Jameson;48;231.0;5;3;186.0;191.0;3;4;5
80;Robert;40;133.0;3;6;102.0;112.5;1;5;3
81;Greyson;32;188.0;5;1;155.0;154.0;3;4;5
82;Jordan;49;118.0;5;3;102.0;105.0;1;5;5
83;Ian;40;84.0;3;3;136.0;105.0;3;4;3
84;Carson;41;104.0;3;0;92.0;93.0;1;4;3
85;Jaxson;44;111.0;3;4;158.0;129.5;3;5;3
86;Leonardo;35;132.0;1;2;104.0;113.0;1;5;1
87;Nicholas;53;193.0;3;4;62.0;110.0;3;3;3
88;Dominic;50;123.0;1;4;66.0;89.5;3;5;1
89;Austin;21;130.0;3;5;96.0;108.0;1;5;3
90;Everett;51;105.0;1;2;190.0;142.5;3;2;1
91;Brooks;20;193.0;3;2;103.0;130.5;0;0;3
92;Xavier;20;136.0;1;2;103.0;114.5;3;5;1
93;Kai;39;222.0;1;2;64.0;125.5;2;0;1
94;Jose;38;139.0;3;2;148.0;138.5;0;5;3
95;Parker;39;154.0;1;5;154.0;149.0;3;5;1
96;Adam;39;142.0;3;2;59.0;95.5;3;5;3
97;Jace;28;212.0;1;3;160.0;168.5;0;3;1
98;Wesley;44;147.0;3;5;70.0;103.5;1;5;3
99;Kayden;29;96.0;1;5;50.0;68.0;3;1;1
100;Silas;30;133.0;3;6;86.0;104.5;2;5;3
101;Bennett;50;50.0;1;5;178.0;114.0;0;3;1
102;Declan;24;53.0;3;0;134.0;93.5;2;4;3
103;Waylon;37;99.0;3;1;84.0;91.5;1;4;3
104;Weston;47;51.0;3;7;148.0;99.5;2;3;3
105;Evan;29;207.0;4;0;199.0;190.5;2;1;4
106;Emmett;23;71.0;3;2;191.0;131.0;1;2;3
107;Micah;50;224.0;4;0;51.0;125.0;2;0;4
108;Ryder;46;89.0;3;4;167.0;128.0;3;2;3
109;Beau;31;77.0;4;0;52.0;64.5;1;2;4
110;Damian;28;64.0;3;7;177.0;120.5;1;1;3
111;Brayden;26;214.0;4;0;173.0;181.0;0;3;4
112;Gael;45;140.0;3;5;119.0;129.5;1;5;3
113;Rowan;52;121.0;4;7;159.0;140.0;1;5;4
114;Harrison;39;197.0;3;3;136.0;154.0;2;4;3
115;Bryson;49;50.0;3;1;177.0;113.5;1;4;3
116;Sawyer;47;127.0;3;6;93.0;110.0;1;5;3
117;Amir;25;85.0;0;2;59.0;72.0;3;0;0
118;Kingston;42;50.0;3;6;167.0;108.5;0;3;3
119;Jason;35;88.0;2;4;51.0;69.5;2;3;2
120;Giovanni;39;105.0;3;6;111.0;108.0;1;5;3
121;Vincent;25;135.0;5;0;51.0;93.0;3;5;5
122;Ayden;39;122.0;3;7;168.0;145.0;3;5;3
123;Chase;48;135.0;3;1;153.0;144.0;3;5;3
124;Myles;40;138.0;1;7;80.0;109.0;3;5;1
125;Diego;24;117.0;4;0;64.0;90.5;3;5;4
126;Nathaniel;42;137.0;0;3;197.0;167.0;3;5;0
127;Legend;21;96.0;4;7;103.0;99.5;3;2;4
128;Jonah;51;97.0;4;2;95.0;96.0;3;4;4
129;River;52;201.0;2;6;159.0;167.5;0;3;2
130;Tyler;20;66.0;4;7;142.0;104.0;3;3;4
131;Cole;29;55.0;5;4;165.0;110.0;2;4;5
132;Braxton;23;185.0;2;0;80.0;120.0;1;4;2
133;George;39;123.0;2;5;65.0;94.0;3;5;2
134;Milo;29;206.0;5;0;198.0;189.5;3;1;5
135;Zachary;29;78.0;3;0;78.0;78.0;0;0;3
136;Ashton;23;59.0;2;5;61.0;60.0;2;4;2
137;Luis;53;134.0;1;0;74.0;104.0;2;5;1
138;Jasper;50;102.0;3;1;122.0;112.0;1;5;3
139;Kaiden;23;210.0;1;5;165.0;175.0;2;0;1
140;Adriel;28;104.0;1;5;53.0;78.5;2;5;1
141;Gavin;26;204.0;0;2;117.0;148.0;1;3;0
142;Bentley;49;134.0;1;5;195.0;164.5;3;5;1
143;Calvin;42;145.0;1;5;200.0;172.5;0;5;1
144;Zion;48;67.0;0;6;57.0;62.0;2;4;0
145;Juan;45;129.0;1;2;115.0;122.0;1;5;1
146;Maxwell;34;58.0;0;3;189.0;123.5;3;1;0
147;Max;30;180.0;4;7;156.0;155.5;0;3;4
148;Ryker;29;137.0;0;3;104.0;120.5;2;5;0
149;Carlos;22;112.0;4;3;179.0;145.5;1;5;4
150;Emmanuel;43;110.0;4;4;119.0;114.5;0;5;4
151;Jayce;44;90.0;4;3;126.0;108.0;0;3;4
152;Lorenzo;47;137.0;4;3;105.0;121.0;0;5;4
153;Ivan;42;70.0;4;0;139.0;104.5;0;1;4
154;Jude;49;66.0;4;1;121.0;93.5;3;0;4
155;August;27;147.0;4;1;76.0;111.5;0;5;4
156;Kevin;40;131.0;4;1;110.0;120.5;0;5;4
157;Malachi;20;86.0;4;1;69.0;77.5;0;4;4
158;Elliott;39;206.0;4;5;147.0;164.0;2;2;4
159;Rhett;45;200.0;4;1;156.0;165.5;0;1;4
160;Archer;24;202.0;4;1;69.0;123.0;0;4;4
161;Karter;42;113.0;5;6;52.0;82.5;2;5;5
162;Arthur;40;186.0;2;2;82.0;121.5;0;4;2
163;Luka;20;119.0;5;7;73.0;96.0;2;5;5
164;Elliot;24;139.0;3;4;58.0;98.5;0;5;3
165;Thiago;23;78.0;5;3;68.0;73.0;2;4;5
166;Brandon;27;116.0;5;3;120.0;118.0;1;5;5
167;Camden;45;139.0;5;0;148.0;143.5;3;5;5
168;Justin;22;109.0;5;3;98.0;103.5;3;5;5
169;Jesus;25;225.0;5;3;94.0;147.0;0;1;5
170;Maddox;27;128.0;5;1;148.0;138.0;3;5;5
171;King;32;99.0;5;0;183.0;141.0;3;2;5
172;Theo;28;52.0;5;0;84.0;68.0;2;1;5
173;Enzo;39;132.0;5;5;60.0;96.0;1;5;5
174;Matteo;30;58.0;5;6;192.0;125.0;0;4;5
175;Emiliano;51;202.0;5;2;144.0;160.5;3;4;5
176;Dean;45;202.0;5;2;191.0;184.0;2;0;5
177;Hayden;39;118.0;1;7;195.0;156.5;1;5;1
178;Finn;34;122.0;1;2;79.0;100.5;0;5;1
179;Brody;52;59.0;1;2;190.0;124.5;1;4;1
180;Antonio;32;179.0;1;4;62.0;108.0;3;1;1
181;Abel;40;148.0;1;3;188.0;168.0;2;5;1
182;Alex;34;76.0;1;1;67.0;71.5;0;2;1
183;Tristan;30;131.0;1;0;119.0;125.0;1;5;1
184;Graham;51;93.0;1;5;61.0;77.0;3;1;1
185;Zayden;31;91.0;0;5;102.0;96.5;2;4;0
186;Judah;27;137.0;1;6;113.0;125.0;3;5;1
187;Xander;44;65.0;4;5;159.0;112.0;3;4;4
188;Miguel;35;177.0;0;5;112.0;132.0;0;0;0
189;Atlas;48;145.0;1;2;144.0;144.5;1;5;1
190;Messiah;27;67.0;0;5;66.0;66.5;2;2;0
191;Barrett;21;88.0;4;5;144.0;116.0;3;3;4
192;Tucker;25;204.0;1;5;185.0;182.0;2;3;1
193;Timothy;32;132.0;2;2;63.0;97.5;2;5;2
194;Alan;40;97.0;1;5;51.0;74.0;3;4;1
195;Edward;45;137.0;1;5;104.0;120.5;2;5;1
196;Leon;53;65.0;2;2;197.0;131.0;2;1;2
197;Dawson;24;107.0;2;5;151.0;129.0;2;5;2
198;Eric;47;130.0;3;7;73.0;101.5;0;5;3
199;Ace;32;192.0;5;5;101.0;134.0;2;3;5
200;Victor;53;60.0;3;5;148.0;104.0;2;2;3
